journey: voyage, expedition, trek, pilgrimage, odyssey
storm: tempest, gale, squall, whirlwind, hurricane
island: island, atoll, isle, archipelago, cay
forest: jungle, woodland, grove, thicket, wilderness
ocean: sea, maritime, deep, expanse, abyss
mountain: peak, summit, ridge, range, height
valley: vale, hollow, basin, depression, lowland
river: stream, brook, creek, channel, watercourse
cave: cavern, grotto, hollow, abyss, vault
desert: wasteland, arid zone, wasteland, expanse, barrens
season: period, cycle, phase, era, term
weather: climate, atmosphere, conditions, skies, air
sky: heavens, firmament, dome, vault, canopy
rain: drizzle, shower, downpour, rainfall, sprinkles
snow: frost, blizzard, flake, powder, flurry
ice: frost, glaze, hoarfrost, sleet, ice sheet
fire: inferno, blaze, conflagration, bonfire, wildfire
smoke: vapour, haze, plume, cloud, fumes
lightning: bolt, flash, streak, fork, thunderbolt
thunder: rumble, roar, clap, crash, detonation
sunrise: dawn, sunrise, sunrise hour, morning, aurora
sunset: dusk, twilight, evening, sunset hour, gloaming
horizon: line, boundary, rim, edge, skyline
universe: cosmos, space, expanse, void, creation
planet: world, celestial body, sphere, globe, orb
star: celestial, beacon, luminary, twinkler, pinprick
galaxy: system, cluster, cosmos, starfield, nebula
comet: visitor, streak, wanderer, harbinger, iceball
moon: satellite, orb, crescent, lunar, orb
shadow: shade, silhouette, outline, gloom, penumbra
silence: quiet, stillness, hush, calm, muteness
echo: reverberation, reflection, sound, response, repetition
whisper: murmur, murmur, soft sound, secret, breath
laugh: chuckle, snicker, giggle, chortle, uproar
cry: sob, weep, wail, moan, lament
shout: yell, scream, bellow, roar, outcry
hum: drone, buzz, murmur, vibration, background noise
crash: smash, bang, impact, collision, crash
wave: swell, breaker, surge, roll, crest
tide: current, ebb, flow, surge, undertow
flood: deluge, inundation, rush, overflow, surge
drought: aridness, dryness, parch, lack of rain, scarcity
echo: reverberation, resonance, reflection, sound trace, repetition
wind: breeze, gale, gust, zephyr, airflow
hopeless: desperate, bleak, grim, hopeless, despairing
regret: remorse, guilt, sorrow, contrition, repentance
grateful: thankful, appreciative, obliged, indebted, appreciative
lonely: alone, isolated, solitary, forsaken, desolate
confused: puzzled, bewildered, disoriented, baffled, perplexed
relieved: comforted, eased, reassured, calmed, composed
surprised: amazed, astonished, shocked, stunned, flabbergasted
embarrassed: ashamed, self‑conscious, awkward, uneasy, mortified
anxious: nervous, worried, uneasy, apprehensive, concerned
hopeful: optimistic, confident, encouraged, sanguine, buoyant
proud: satisfied, contented, gratified, pleased, self‑respecting
humble: modest, unassuming, meek, unpretentious, lowly
jealous: envious, possessive, covetous, resentful, suspicious
ashamed: abashed, guilty, remorseful, dishonored, contrite
curious: inquisitive, intrigued, interested, wondering, questioning
shocked: horrified, appalled, rattled, distressed, dismayed
excited: thrilled, enthusiastic, animated, eager, exhilarated
annoyed: irritated, irked, frustrated, exasperated, aggravated
frightened: terrified, petrified, scared, panicky, terrified
appreciate: value, cherish, admire, respect, savor
deny: reject, refuse, decline, dispute, gainsay
refuse: decline, turn down, spurn, rebuff, disallow
accept: agree, permit, welcome, embrace, receive
admit: confess, acknowledge, concede, own, admit
permit: allow, authorize, sanction, approve, license
forbid: prohibit, ban, veto, disallow, deny
obey: comply, abide, submit, follow, conform
disobey: defy, ignore, resist, rebel, contest
succeed: triumph, win, prevail, prosper, achieve
fail: flop, collapse, disappoint, fall short, stumble
capture: catch, seize, arrest, apprehend, secure
lose: misplace, surrender, forfeit, drop, sacrifice
find: discover, locate, uncover, detect, trace
rescue: save, redeem, deliver, extricate, liberate
abandon: leave, desert, forsake, quit, relinquish
discover: uncover, expose, reveal, find, detect
reveal: disclose, divulge, expose, divulge, release
hide: conceal, mask, cover, camouflage, disguise
search: look for, seek, hunt, probe, investigate
investigate: probe, explore, examine, scrutinize, study
observe: watch, monitor, study, witness, note
ignore: overlook, disregard, neglect, snub, brush aside
avoid: dodge, evade, escape, shun, elude
attack: assault, charge, assail, bombard, strike
defend: protect, guard, shield, safeguard, withstand
insult: offend, disparage, belittle, demean, slight
praise: compliment, applaud, acclaim, laud, commend
warn: caution, advise, alert, forewarn, dissuade
comfort: console, soothe, reassure, nurture, support
hurt: injure, wound, harm, damage, wound
heal: cure, mend, restore, fix, repair
cure: remedy, fix, rectify, mend, solve
repair: fix, mend, restore, patch, rebuild
break: shatter, smash, fracture, wreck, rupture
create: invent, design, make, construct, produce
destroy: demolish, ruin, wreck, devastate, obliterate
happy: joyful, pleased, content, delighted, cheerful
sad: sorrowful, gloomy, depressed, miserable, downcast
love: affection, fondness, adoration, passion, devotion
hate: dislike, detest, abhor, loathe, despise
run: sprint, dash, race, jog, hurry
big: large, huge, massive, enormous, gigantic
small: tiny, little, miniature, compact, petite
fast: quick, rapid, speedy, swift, nimble
slow: gradual, leisurely, sluggish, tardy, sluggish
good: great, excellent, superb, wonderful, fine
bad: poor, awful, terrible, dreadful, rotten
beautiful: gorgeous, stunning, breathtaking, lovely, charming
ugly: hideous, unattractive, unpleasing, repulsive, unsightly
strong: powerful, mighty, robust, sturdy, formidable
weak: feeble, frail, delicate, fragile, powerless
angry: furious, irate, enraged, furious, incensed
calm: peaceful, tranquil, serene, relaxed, composed
smart: intelligent, clever, bright, wise, sharp
foolish: stupid, silly, absurd, senseless, irrational
joy: happiness, delight, pleasure, ecstasy, bliss
sorrow: sadness, grief, misery, heartache, woe
hope: expectation, anticipation, desire, hopefulness, optimism
fear: dread, terror, fright, panic, alarm
anger: rage, fury, wrath, annoyance, irritation
peace: tranquility, harmony, serenity, quiet, calmness
honest: truthful, sincere, genuine, honorable, upright
dishonest: deceitful, untruthful, fraudulent, lying, duplicitous
brilliant: bright, shining, intelligent, talented, outstanding
boring: dull, tedious, monotonous, uninteresting, tiresome
exciting: thrilling, exhilarating, stimulating, electrifying, exciting
friendly: kind, warm, welcoming, amiable, congenial
